review,tokens,food,service,ambience,price
The best farm to table around. I enjoyed the haut presentation of the cuisine. The chef's have created a menu filled with imagination and well cooked food. I enjoyed the wagyu beef corn dog and the pickled fried chicken. The staff is very professional and friendly. I will be back!,"farm,presentation,cuisine,chef,menu,imagination,food,beef,corn,dog,chicken,staff",1,1,0,0
Trash food. I wouldnt give this to my dog if he asked me for it. Way better options in the area,"trash,food,dog,way,options,area",1,0,0,0
"Great place, love the vibe. Fine food with great presentation. Only the dessert was a let-down: Smores over a coal pot (great idea), but with the cheapest store-bought crackers, marshmallows, and chocolate at 10x the price. Expected a twist on it, and higher quality.","place,vibe,food,presentation,dessert,smores,coal,pot,idea,store,crackers,marshmallows,chocolate,price,twist,quality",1,1,1,1
"Amazing food. It wasn't Thai, it was inspired by many Thai flavors though. Great vibe and great cocktails.","food,flavors,vibe,cocktails",1,1,0,0
"We ate the whole menu and I will be thinking about it for some time (especially the parsnip foam on the duck liver mousse, the duck butter with the squash bread, and the lobster spaetzle) Great cocktails and wine selection too.","menu,time,parsnip,foam,duck,liver,butter,bread,cocktails,wine,selection",1,0,0,0
"I found the menu on the night we visited to be extremely one-note and underwhelming, especially for the price. It's a beautiful space, though, and the backyard is lovely. But the service was slow (and there didn't seem to be any staffing issues) and the food just was not memorable. Oh well!","menu,night,note,price,space,backyard,service,staffing,issues,food",1,1,0,1
"Absolutely my favorite restaurant! We've been 5 or 6 times, and every time has been delicious as well as unique, since the menu changes seasonally. Great service, fantastic food, and the best chocolate mousse I've ever had.","restaurant,times,menu,service,food,chocolate,mousse",1,1,0,0
"Amazing food, atmosphere! Run don't walk.","food,atmosphere",1,0,1,0
My favorite spot in Brooklyn.,spot,0,0,1,0
"Short version: Why doesnt this place have like 8 Michelin stars?Long version: They actually do have one or two. If youre looking for the right level of fancy with insanely high quality food for bunch, lunch, or dinner, then ","version,place,level,fancy,quality,food,bunch,lunch,dinner",1,0,1,0
Amazing food. Such a special treat. The whole staff is also very kind. They even accommodated me as a vegetarian!,"food,treat,staff,vegetarian",1,1,0,0
"Loved the food, ambiance especially the green wall and the outdoors. The staff were extremely courteous!","food,outdoors,staff",1,1,0,0
"Olmsted never disappoints. Delicious drinks and food, with something new to try every time. Great ambiance and service.","disappoints,drinks,food,time,ambiance,service",1,1,1,0
"This place is a joke. I can't believe it has such good reviews. We had three servers, but the service was awful. They recommend four or five dishes for two people (we got five) and I needed to go get a second dinner after because I was ","place,joke,reviews,servers,service,dishes,people,dinner",1,1,1,0
"I thought the cocktails - which were phenomenal - were better than the food. It was a very vegetable-forward summery menu, and I enjoyed the som tum, carrot crepe and tomato schnitzel. I remember the scallop dish from my last visit here ","cocktails,food,forward,summery,menu,som,tum,carrot,crepe,tomato,schnitzel,dish,visit",1,0,0,0
Kitchen counter seating was great to witness all the action packed into such a small space! Food is always a delight here - the scallops are a must try.,"kitchen,counter,seating,action,space,food,delight,scallops",1,0,0,0
Had a delish and relaxed brunch! Highly recommend the house gravlax and breakfast burger - already making plans to come back for them  Friendly staff.,"brunch,house,gravlax,breakfast,burger,plans,staff",1,1,0,0
Inventive and tasty food. Great service. Great aesthetic. One of the best meals you can find,"food,service,meals",1,1,0,0
"I really want to like Olmsted, however each time Ive gone, its steadily become a bit more disappointing. The first time I went in 2019, the food was inventive and the experience was luxurious enough to justify the cost. Then came the ","time,bit,food,experience,cost",1,0,1,1
"Amazing in every way. The atmosphere, staff, and menu are truly perfect. Great dining experience all around.","way,atmosphere,staff,menu,dining,experience",0,1,1,0
"The six of us had a wonderful meal where we ordered the menu and then some. Interesting wines at decent prices, and the service was excellent. I was particularly touched at how accommodating they were for my pesky celiac condition. I can't wait to go back.","meal,menu,wines,prices,service,condition",1,1,0,1
"Truly a wonderful restaurant. Everything we ordered was delicious and the service was excellent. Everyone there is so warm and welcoming and there is no wait for your food. With a small and thoughtfully crafted menu, its a real pleasure to ","restaurant,service,wait,food,menu,pleasure",1,1,0,0
"Great Brunch - we got one of everything on the menu :) Highlights were the BEC Eggrolls, the gravlox & the burger. The details on the packaging of the granola (came with the Fro-Yo) and the eggrolls make the experience feel really well ","menu,gravlox,burger,details,packaging,eggrolls,experience",1,0,1,0
